O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres,timestamp,site_id
19.39074534893956,13.956011971153586,0.6504564718652863,21.525315177052292,11.509995484815294,31.211577137967424,5.502695215357242,88.39047834749623,1009.9602724047071,2016-01-01,HARR [AQ]
26.42595387806758,7.543341954576983,0.23536410290914617,5.739828140966845,7.101246272154925,16.956517236643123,8.835932986422955,91.6800885623263,996.5957545594964,2016-01-02,HARR [AQ]
28.98874920203301,9.027495119702293,0.3595066847323224,6.3739246213721445,6.253884790147773,20.91808575276574,7.78585364791531,88.15287499007303,985.2767647386302,2016-01-03,HARR [AQ]
22.860190902163232,12.919181412431458,0.7632231818080265,19.03186966204583,8.966139082877117,26.89695692633993,7.342515450008222,88.77491086499559,978.9151316228489,2016-01-04,HARR [AQ]
14.815190795098342,13.574223020056024,0.5555083150313687,15.947974220883568,13.139780236925283,22.161526001271685,7.715918433161261,92.31255787346441,982.5237165201156,2016-01-05,HARR [AQ]
15.127107263675608,11.633820765388485,0.26707736628164414,9.315345592640877,15.306720671509032,22.983844300920552,6.71792059767905,89.66570186898835,987.43342460217,2016-01-06,HARR [AQ]
23.20211642407502,9.193097615013356,0.5620936982494974,13.071049694473173,10.017198068399235,25.392234649288245,5.76803584771876,84.6169388252039,988.5750611701123,2016-01-07,HARR [AQ]
27.049906720803754,8.496400772074992,0.5693436613416727,10.461106560182202,5.283974744028637,22.099333125591286,6.302586181465243,85.37464249427735,991.6170586998712,2016-01-08,HARR [AQ]
28.254719500448914,8.356136053342238,0.24445878205887817,6.106891354394503,6.392069269898818,21.94337561625592,7.1353948642963845,86.25624347909188,988.7528580978911,2016-01-09,HARR [AQ]
29.399782004349206,7.519407668091947,0.40007043123209995,10.323133824417972,7.212428897489563,19.970602486061154,6.648820344821865,85.6050332107365,978.9173441711038,2016-01-10,HARR [AQ]
27.846593370928076,5.400016946081387,0.37173622089067,6.844091967257269,5.257592561199423,13.613937041263274,5.723944329897469,86.02514746549978,979.4959690745594,2016-01-11,HARR [AQ]
23.20427877634643,5.995797550880279,0.1615510874481087,4.003625201090982,7.084652404091073,20.787559551945414,4.969286396775073,83.55099662344284,995.75280985576,2016-01-12,HARR [AQ]
24.459084636423533,7.700446845850682,0.399402523355991,11.40252897179257,8.636555307084578,27.232483641513905,4.586714933989091,77.84910344254196,1005.8310060828034,2016-01-13,HARR [AQ]
31.412611311691784,5.493251808302463,0.3663619405490481,6.689615392286502,5.177923180938229,17.37479098922771,3.739203840573673,73.51384442167765,1005.8727041773321,2016-01-14,HARR [AQ]
30.04723953413308,4.895418164045268,0.21558731160659375,1.4081450924463037,8.066815419693897,20.9862771811265,2.037102505620026,77.25831925956403,1014.6698897367646,2016-01-15,HARR [AQ]
18.252636405816478,12.11835903246753,0.7985495287080219,19.98826951794626,17.89199031648791,38.87547007470433,1.4853192075661381,85.09897735590641,1025.2666682004224,2016-01-16,HARR [AQ]
11.296098806588144,19.110402771096407,1.123979860566821,30.84435981490215,19.403278257693998,36.0306715469507,2.7959710755366927,85.00605234745058,1020.5726824131269,2016-01-17,HARR [AQ]
10.576887359348122,18.2856025415928,1.0034137031607497,24.244422277999217,20.070368159662472,32.36556819976684,2.3464520114896334,79.96489513874269,1011.0704757776565,2016-01-18,HARR [AQ]
4.222120255498892,17.810137639394164,1.577758696015872,40.05312306409041,35.17334031894231,55.055168981992395,-0.8777994530201162,81.68661457498945,1012.6258746150254,2016-01-19,HARR [AQ]
1.217740384146442,20.018579864673928,1.800280542413862,55.79241188489592,44.03983259017217,61.941265720201486,-1.3762371562734108,84.2095577051369,1017.0128345596924,2016-01-20,HARR [AQ]
11.709509358782434,17.832551048731986,1.0383642965733222,32.826659423653425,28.86881726991363,38.727481008398435,2.8511432412573123,81.478712205628,1015.6055845289469,2016-01-21,HARR [AQ]
21.549067319513927,12.80877263548716,0.6128260730591787,9.768201651474005,12.48409979009248,32.71764348641551,6.629662346427834,84.8725004142064,1015.9730594902975,2016-01-22,HARR [AQ]
20.466982967723343,11.45021059447874,0.5399227799596419,13.908214322418862,13.079482261807149,42.405908127906805,8.161089739253654,92.1765754944457,1021.8607250625779,2016-01-23,HARR [AQ]
19.905944798124306,10.946951572445995,0.3860074884338975,13.994971731097902,14.620573750873127,32.91686542624096,10.481241456756925,88.8143887061489,1023.6056201157417,2016-01-24,HARR [AQ]
26.53288916049445,7.658405308335363,0.452537536759,6.073789974373584,8.71063145421565,23.202181878015928,11.646639953453967,81.39017511434064,1016.932753315492,2016-01-25,HARR [AQ]
30.892059603427196,5.62258109322024,0.4444434673085708,7.46938227980773,5.062546456205741,25.287528601357643,10.11183495667371,83.06244037957028,1008.6388540366662,2016-01-26,HARR [AQ]
30.498227919158698,6.689801112549905,0.2805459004396093,8.760855498463707,5.92702906226325,23.76238102404829,8.972125736710819,83.42429949495758,1008.9881764341932,2016-01-27,HARR [AQ]
33.70486974270476,6.521226607235523,0.32796538135423864,5.4943720822146975,5.745558208370783,27.317913858223115,9.354221786928147,76.11831169332078,1015.8831402795913,2016-01-28,HARR [AQ]
38.306871990116946,4.464571922509392,0.33432923874814613,5.717959646487527,4.847398173752505,34.94109517728871,9.13321698607423,73.12317910441531,1013.824599475984,2016-01-29,HARR [AQ]
35.178926890707665,5.029889179361657,0.23468913361711075,6.503907704030028,5.6560518330941845,31.308914623169365,7.822192072839826,78.19009041300362,1005.7499036252225,2016-01-30,HARR [AQ]
